CustomerID,FullName,Gender,Age,City,JoinDate,Phone
C00001,محمد جعفری,Unknown,30,اصفهان,1398-04-24,9395776925
C00002,امیر جعفری,F,33,شیراز,1403-08-27,9462070048
C00003,زهرا موسوی,Unknown,64,مشهد,1400-12-12,9345085071
C00004,محمد نوری,F,63,تبریز,1401-03-08,9829632290
C00005,حسین احمدی,F,25,اهواز,1398-11-02,9278421976
C00006,زهرا نوری,Unknown,50,کرج,1400-04-26,9242402747
C00007,حسین رضایی,M,19,قم,1399-07-05,9731498558
C00008,بدون‌نام,M,45,تهران,1399-03-24,9708227911
C00009,نرگس احمدی,F,65,اصفهان,1400-10-09,9808660183
C00010,زهرا نوری,F,30,شیراز,1401-01-14,9326783095
C00011,محمد رضایی,M,38,مشهد,1401-12-12,9925713776
C00012,امیر رضایی,M,39,تبریز,1404-02-03,9927204449
C00013,امیر نوری,F,70,اهواز,1398-11-24,9388218232
C00014,رضا احمدی,F,57,کرج,1402-10-18,9218434493
C00015,نرگس جعفری,Unknown,42,قم,1401-04-15,9794465805
C00016,محمد رضایی,M,41,تهران,1402-08-07,9522486086
C00017,فاطمه حسینی,M,37,اصفهان,1400-08-07,9753947459
C00018,رضا محمدی,F,44,شیراز,1401-05-06,9947037587
C00019,سارا حسینی,M,44,مشهد,1404-11-14,9958637043
C00020,امیر احمدی,M,59,تبریز,1401-08-06,9661652203
C00021,علی محمدی,M,55,اهواز,1400-03-21,9548746470
C00022,رضا موسوی,M,51,کرج,1404-02-27,9746227119
C00023,سارا محمدی,Unknown,69,قم,1398-07-27,9258207956
C00024,سارا نوری,F,68,تهران,1400-08-13,9941810948
C00025,علی رضایی,M,51,اصفهان,1399-09-17,9242541621
C00026,مریم کریمی,M,54,شیراز,1398-07-01,9567549738
C00027,مریم کریمی,F,50,مشهد,1403-12-23,9229381125
C00028,زهرا موسوی,M,44,تبریز,1403-02-23,9687559296
C00029,محمد موسوی,F,36,اهواز,1400-12-22,9759085298
C00030,محمد جعفری,F,46,کرج,1403-10-18,9373817153
C00031,علی نوری,M,41,قم,1399-12-05,9754449878
C00032,مریم نوری,Unknown,37,تهران,1398-09-05,9796514081
