CustomerID,FullName,Gender,Age,City,JoinDate,Phone
C00001,محمد جعفری,,30.0,اصفهان,1398-04-24,09395776925
C00002,امیر جعفری,F,33.0,شیراز,1403-08-27,09462070048
C00003,زهرا موسوی,Unknown,64.0,مشهد,1400-12-12,09345085071
C00004,محمد نوری,F,63.0,تبریز,1401-03-08,09829632290
C00005,حسین احمدی,F,25.0,اهواز,1398-11-02,09278421976
C00006,زهرا نوری,Unknown,50.0,کرج,1400-04-26,09242402747
C00007,حسین رضایی,M,19.0,قم,1399-07-05,09731498558
C00008,,M,45.0,تهران,1399-03-24,09708227911
C00009,نرگس احمدی,F,65.0,اصفهان,1400-10-09,09808660183
C00010,زهرا نوری,F,30.0,شیراز,1401-01-14,09326783095
C00011,محمد رضایی,M,38.0,مشهد,1401-12-12,09925713776
C00012,امیر رضایی,M,39.0,تبریز,1404-02-03,09927204449
C00013,امیر نوری,F,70.0,اهواز,1398-11-24,09388218232
C00014,رضا احمدی,F,57.0,کرج,1402-10-18,09218434493
C00015,نرگس جعفری,Unknown,42.0,قم,1401-04-15,09794465805
C00016,محمد رضایی,M,41.0,تهران,1402-08-07,09522486086
C00017,فاطمه حسینی,M,37.0,اصفهان,1400-08-07,09753947459
C00018,رضا محمدی,F,,شیراز,1401-05-06,09947037587
C00019,سارا حسینی,M,,مشهد,1404-11-14,09958637043
C00020,امیر احمدی,M,59.0,تبریز,1401-08-06,09661652203
C00021,علی محمدی,M,55.0,اهواز,1400-03-21,09548746470
C00022,رضا موسوی,M,51.0,کرج,1404-02-27,09746227119
C00023,سارا محمدی,Unknown,69.0,قم,1398-07-27,09258207956
C00024,سارا نوری,F,68.0,تهران,1400-08-13,09941810948
C00025,علی رضایی,M,51.0,اصفهان,1399-09-17,09242541621
C00026,مریم کریمی,M,54.0,شیراز,1398-07-01,09567549738
C00027,مریم کریمی,F,50.0,مشهد,1403-12-23,09229381125
C00028,زهرا موسوی,M,44.0,تبریز,1403-02-23,09687559296
C00029,محمد موسوی,F,36.0,اهواز,1400-12-22,09759085298
C00030,محمد جعفری,F,46.0,کرج,1403-10-18,09373817153
C00031,علی نوری,M,41.0,قم,1399-12-05,09754449878
C00032,مریم نوری,Unknown,37.0,تهران,1398-09-05,09796514081
C00033,رضا نوری,M,,اصفهان,1401-02-11,09859560750
C00034,امیر نوری,F,24.0,شیراز,1400-02-08,09205303548
C00035,مریم رضایی,M,42.0,مشهد,1402-01-20,09748428594
C00036,حسین حسینی,M,18.0,تبریز,1401-04-28,09365639989
C00037,مریم رضایی,F,71.0,اهواز,1404-09-22,09138912799
C00038,امیر رضایی,M,53.0,کرج,1402-04-22,09981215698
C00039,رضا رضایی,F,66.0,قم,1402-02-19,09861260995
C00040,زهرا جعفری,F,61.0,تهران,1399-03-13,09271131153
C00041,نرگس رضایی,M,18.0,اصفهان,1404-04-19,09231464921
C00042,امیر نوری,F,33.0,شیراز,1403-08-28,09853203944
C00043,نرگس نوری,M,59.0,مشهد,1398-09-23,09857283086
C00044,علی کریمی,F,24.0,تبریز,1403-11-13,09217276365
C00045,مریم موسوی,M,63.0,اهواز,1401-07-21,09492396916
C00046,زهرا رضایی,F,23.0,کرج,1403-09-02,09735702977
C00047,مریم رضایی,M,51.0,قم,1404-09-18,09101381154
C00048,سارا کریمی,M,38.0,تهران,1399-11-13,09187932277
C00049,مریم کریمی,M,60.0,اصفهان,1399-05-28,09326727674
C00050,زهرا محمدی,Unknown,47.0,شیراز,1404-07-13,09364765314
C00051,محمد موسوی,M,68.0,مشهد,1402-07-20,09242335950
C00052,حسین نوری,M,24.0,تبریز,1401-07-20,09209760651
C00053,علی حسینی,F,41.0,اهواز,1398-12-08,09796498887
C00054,حسین محمدی,M,63.0,کرج,1400-08-28,09299542283
C00055,نرگس رضایی,F,40.0,قم,1402-08-09,09525267193
C00056,مریم حسینی,M,49.0,تهران,1399-03-03,09725923319
C00057,رضا حسینی,F,60.0,اصفهان,1402-08-19,09405942298
C00058,رضا احمدی,F,69.0,شیراز,1399-06-15,09558274702
C00059,زهرا نوری,Unknown,45.0,مشهد,1403-07-25,09755682475
C00060,فاطمه احمدی,Unknown,38.0,تبریز,1399-10-07,09531374987
C00061,امیر جعفری,Unknown,21.0,اهواز,1398-01-03,09163525502
C00062,زهرا موسوی,F,21.0,کرج,1401-05-14,09769125094
C00063,سارا جعفری,M,38.0,قم,1398-06-24,09732382515
C00064,زهرا احمدی,F,45.0,تهران,1399-08-19,09951689494
C00065,حسین حسینی,F,55.0,اصفهان,1404-06-22,09227348656
C00066,رضا حسینی,M,54.0,شیراز,1403-05-26,09287808737
C00067,سارا محمدی,M,63.0,مشهد,1401-06-05,09919902196
C00068,امیر جعفری,Unknown,53.0,تبریز,1404-07-06,09225526119
C00069,فاطمه رضایی,Unknown,58.0,اهواز,1401-11-11,09134904010
C00070,زهرا حسینی,M,31.0,کرج,1401-06-26,09909466498
C00071,زهرا حسینی,M,44.0,قم,1398-08-07,09986278005
C00072,علی حسینی,F,63.0,تهران,1403-06-01,09858687091
C00073,حسین موسوی,F,59.0,اصفهان,1402-07-19,09641522976
C00074,مریم نوری,F,68.0,شیراز,1403-05-21,09853979962
C00075,رضا جعفری,F,45.0,مشهد,1401-07-22,09489185969
C00076,امیر کریمی,F,49.0,تبریز,1400-08-04,09548631785
C00077,علی کریمی,Unknown,67.0,اهواز,1401-07-03,09656677489
C00078,فاطمه حسینی,M,31.0,کرج,1400-03-01,09126471641
C00079,حسین حسینی,M,50.0,قم,1404-09-13,09601065830
C00080,سارا احمدی,F,56.0,تهران,1400-04-05,09978224863
C00081,نرگس جعفری,F,66.0,اصفهان,1402-11-14,09557486262
C00082,سارا کریمی,Unknown,22.0,شیراز,1399-12-18,09205564047
C00083,رضا احمدی,Unknown,53.0,مشهد,1403-10-13,09479728335
C00084,محمد جعفری,F,70.0,تبریز,1398-12-05,09766733075
C00085,محمد رضایی,M,59.0,اهواز,1400-01-04,09955407297
C00086,حسین حسینی,,31.0,کرج,1404-12-25,09461666274
C00087,محمد احمدی,M,61.0,قم,1403-08-03,09339322314
C00088,علی رضایی,F,69.0,تهران,1401-10-07,09144320802
C00089,سارا موسوی,F,59.0,اصفهان,1398-12-19,09108789108
C00090,امیر کریمی,M,67.0,شیراز,1403-09-12,09301917101
C00091,حسین رضایی,Unknown,45.0,مشهد,1402-03-25,09337095585
C00092,حسین موسوی,Unknown,50.0,تبریز,1401-01-22,09693291851
C00093,مریم حسینی,F,64.0,اهواز,1399-05-24,09903690492
C00094,فاطمه رضایی,F,47.0,کرج,1402-08-13,09888797073
C00095,رضا حسینی,M,56.0,قم,1399-09-03,09478266883
C00096,محمد جعفری,M,46.0,تهران,1401-12-18,09222074088
C00097,امیر موسوی,F,,اصفهان,1402-03-28,09154531321
C00098,حسین حسینی,M,155.0,,1401-11-07,09421741791
C00099,مریم رضایی,F,42.0,مشهد,1398-05-06,09956710861
C00100,حسین نوری,Unknown,69.0,تبریز,1404-05-13,09765528000
C00101,فاطمه نوری,F,,اهواز,1401-12-08,09593928084
C00102,مریم نوری,F,29.0,کرج,1404-11-09,09626579013
C00103,امیر محمدی,F,35.0,قم,1402-01-09,09252398973
C00104,محمد رضایی,M,31.0,تهران,1400-11-01,09806265150
C00105,امیر کریمی,Unknown,71.0,اصفهان,1403-08-13,09627071376
C00106,نرگس حسینی,F,43.0,شیراز,1399-10-19,09262540769
C00107,حسین موسوی,F,69.0,مشهد,1401-04-03,09795614588
C00108,علی نوری,Unknown,155.0,تبریز,1404-06-04,09193642854
C00109,مریم رضایی,Unknown,42.0,اهواز,1398-01-07,09335644789
C00110,علی جعفری,M,52.0,کرج,1403-04-02,09447997653
C00111,حسین محمدی,,34.0,قم,1398-11-20,09534547131
C00112,علی حسینی,M,40.0,تهران,1399-05-05,09862463123
C00113,محمد کریمی,M,35.0,اصفهان,1398-02-15,09464881942
C00114,امیر احمدی,F,30.0,شیراز,1401-10-14,09386377175
C00115,امیر موسوی,F,30.0,مشهد,1399-11-14,09763976621
C00116,علی کریمی,M,64.0,تبریز,1399-12-14,09732722215
C00117,فاطمه محمدی,M,67.0,اهواز,1399-08-02,09171083338
C00118,علی محمدی,M,56.0,کرج,1404-03-23,09655279517
C00119,محمد احمدی,F,63.0,قم,1399-02-16,09531042672
C00120,رضا کریمی,M,66.0,تهران,1399-11-15,09789956649
C00121,محمد نوری,M,42.0,اصفهان,1403-04-08,09966430819
C00122,فاطمه موسوی,Unknown,26.0,شیراز,1404-12-03,09385933555
C00123,محمد محمدی,M,,مشهد,1403-02-17,09663858720
C00124,علی موسوی,F,38.0,تبریز,1403-01-25,09117318899
C00125,امیر موسوی,F,57.0,اهواز,1399-08-21,09833854378
C00126,مریم محمدی,M,59.0,کرج,1398-11-05,09227032031
C00127,سارا احمدی,M,71.0,قم,1402-01-05,09331036068
C00128,نرگس احمدی,M,38.0,تهران,1404-01-16,09216154225
C00129,حسین احمدی,M,51.0,اصفهان,1404-02-25,09263458684
C00130,مریم محمدی,F,36.0,,1403-01-13,09699790380
C00131,علی احمدی,M,30.0,مشهد,1403-03-01,09858864995
C00132,رضا محمدی,M,46.0,تبریز,1403-04-18,09457764966
C00133,سارا احمدی,F,58.0,اهواز,1402-07-21,09739850752
C00134,مریم نوری,M,19.0,کرج,1399-06-26,09804225879
C00135,نرگس رضایی,F,66.0,قم,1401-06-12,09684555064
C00136,زهرا حسینی,Unknown,32.0,تهران,1399-09-14,09257137778
C00137,نرگس نوری,F,29.0,اصفهان,1399-12-25,09405228207
C00138,امیر موسوی,F,40.0,شیراز,1404-09-19,09561798949
C00139,مریم جعفری,Unknown,48.0,مشهد,1403-08-21,09491941535
C00140,امیر جعفری,F,45.0,تبریز,1403-11-20,09181029211
C00141,حسین رضایی,F,70.0,اهواز,1399-06-21,09974394301
C00142,امیر موسوی,F,51.0,کرج,1403-09-27,09384132814
C00143,فاطمه کریمی,M,50.0,قم,1402-07-17,09619418431
C00144,زهرا حسینی,F,37.0,تهران,1401-06-02,09457920259
C00145,فاطمه موسوی,M,36.0,اصفهان,1398-04-05,09129594084
C00146,علی کریمی,F,49.0,شیراز,1403-03-06,09884094359
C00147,نرگس محمدی,M,46.0,مشهد,1399-06-06,09155215749
C00148,علی رضایی,M,22.0,تبریز,1401-04-04,09953202724
C00149,امیر رضایی,F,31.0,اهواز,1402-09-14,09223652965
C00150,امیر جعفری,Unknown,23.0,کرج,1400-10-09,09976525665
C00151,مریم رضایی,M,25.0,قم,1404-05-27,09933740198
C00152,علی جعفری,Unknown,58.0,تهران,1399-07-12,09644623018
C00153,علی حسینی,M,26.0,اصفهان,1401-07-05,09198667397
C00154,سارا موسوی,F,63.0,شیراز,1400-08-15,09438516855
C00155,علی جعفری,M,29.0,مشهد,1400-02-22,09639473848
C00156,امیر موسوی,M,38.0,تبریز,1400-02-07,09332600487
C00157,رضا کریمی,M,42.0,اهواز,1403-08-06,09263207330
C00158,امیر احمدی,Unknown,58.0,کرج,1404-09-04,09405813815
C00159,فاطمه محمدی,F,26.0,قم,1401-09-07,09139460170
C00160,سارا حسینی,M,33.0,تهران,1398-11-01,09535064057
C00161,امیر کریمی,F,25.0,اصفهان,1401-05-16,09422130974
C00162,حسین جعفری,Unknown,25.0,شیراز,1399-12-03,09244353371
C00163,زهرا حسینی,Unknown,19.0,,1401-12-06,09432070579
